year,hhi_40ptl,hhi_95ptl,hhi_ineq
2017,47110,237034,5.0315
2016,46581,230095,4.9397
2015,45020,221900,4.9289
2014,42688,214100,5.0155
2013,43251,216208,4.9989
2012,42533,204466,4.8072
2011,42075,203165,4.8286
2010,42815,203355,4.7496
2009,44151,206156,4.6693
2008,44512,205438,4.6153
2007,46340,209773,4.5268
2006,46038,212081,4.6067
2005,45298,208874,4.6111
2004,45109,204439,4.5321
2003,45426,205912,4.5329
2002,45606,204961,4.4942
2001,46237,208882,4.5176
2000,47106,207293,4.4006
1999,47110,209575,4.4486
1998,45834,199264,4.3475
1997,44609,193333,4.3339
1996,43326,186571,4.3062
1995,43125,181061,4.1985
1994,41351,180206,4.358
1993,41342,175289,4.24
1992,41458,170058,4.1019
1991,42243,169675,4.0166
1990,43163,172835,4.0042
1989,44024,175619,3.9892
1988,42952,171090,3.9833
1987,42434,167517,3.9477
1986,41967,165096,3.9339
1985,40749,156871,3.8497
1984,40066,154360,3.8526
1983,39057,149047,3.8161
1982,39101,147058,3.761
1981,38929,143258,3.68
1980,39832,143892,3.6125
1979,41059,148001,3.6046
1978,41308,145420,3.5204
1977,39906,140409,3.5185
1976,39557,137486,3.4756
1975,38983,133470,3.4238
1974,40528,137567,3.3944
1973,41812,143164,3.424
1972,40987,139539,3.4045
1971,39207,130642,3.3321
1970,39913,130926,3.2803
1969,40664,129225,3.1779
1968,39010,122913,3.1508
1967,37644,122264,3.2479
1966,37644,122264,3.2479
1965,37644,122264,3.2479
1964,37644,122264,3.2479
1963,37644,122264,3.2479
1962,37644,122264,3.2479
1961,37644,122264,3.2479
1960,37644,122264,3.2479
