year,ins_rate
1953,57.0
1954,58.6
1955,60.2
1956,61.8
1957,63.4
1958,65.0
1959,65.6
1960,66.2
1961,66.8
1962,67.4
1963,68.0
1964,69.3
1965,70.6
1966,71.9
1967,73.1
1968,74.4
1969,75.7
1970,77.0
1971,80.9
1972,84.8
1973,86.4
1974,88.1
1975,87.7
1976,87.2
1977,88.2
1978,89.2
1979,89.2
1980,89.2
1981,88.4
1982,87.5
1983,86.9
1984,87.1
1985,86.9
1986,86.7
1987,87.1
1988,86.6
1989,86.4
1990,86.1
1991,85.9
1992,85.0
1993,84.7
1994,84.8
1995,84.6
1996,84.6
1997,84.3
1998,84.2
1999,85.0
2000,86.3
2001,85.9
2002,85.3
2003,84.9
2004,85.1
2005,84.7
2006,84.2
2007,85.3
2008,85.2
2009,81.3
2010,84.0
2011,84.9
2012,85.3
2013,85.5
2014,88.5
2015,90.9
2016,91.2
2017,90.9
