year,overweight,obese,severe_obese,,,,,,
1960,31.5,44.9,0.9,,,,,,
1961,31.5,44.9,0.9,,,,,,
1962,31.5,44.9,0.9,,,,,,
1963,31.6,45.2,0.9,,,,,,
1964,31.8,45.4,1.0,,,,,,
1965,31.9,45.7,1.0,,,,,,
1966,32.0,45.9,1.1,,,,,,
1967,32.2,46.2,1.1,,,,,,
1968,32.3,46.4,1.2,,,,,,
1969,32.4,46.7,1.2,,,,,,
1970,32.6,46.9,1.3,,,,,,
1971,32.7,47.2,1.3,,,,,,
1972,32.7,47.2,1.3,,,,,,
1973,32.7,47.2,1.3,,,,,,
1974,32.7,47.2,1.3,,,,,,
1975,32.4,47.2,1.4,,,,,,
1976,32.1,47.1,1.4,,,,,,
1977,32.1,47.1,1.4,,,,,,
1978,32.1,47.1,1.4,,,,,,
1979,32.1,47.1,1.4,,,,,,
1980,32.1,47.1,1.4,,,,,,
1981,32.2,48.2,1.6,,,,,,
1982,32.2,49.3,1.8,,,,,,
1983,32.3,50.4,2.0,,,,,,
1984,32.4,51.5,2.2,,,,,,
1985,32.4,52.5,2.4,,,,,,
1986,32.5,53.6,2.6,,,,,,
1987,32.5,54.7,2.8,,,,,,
1988,32.6,55.8,3.0,,,,,,
1989,32.6,55.8,3.0,,,,,,
1990,32.6,55.8,3.0,,,,,,
1991,32.6,55.8,3.0,,,,,,
1992,32.6,55.8,3.0,,,,,,
1993,32.6,55.8,3.0,,,,,,
1994,32.6,55.8,3.0,,,,,,
1995,32.8,57.5,3.4,,,,,,
1996,33.0,59.3,3.8,,,,,,
1997,33.2,61.0,4.2,,,,,,
1998,33.4,62.8,4.6,,,,,,
1999,33.6,64.5,5.0,,,,,,
2000,33.6,64.5,5.0,,,,,,
2001,34.4,65.6,5.4,,,,,,
2002,34.4,65.6,5.4,,,,,,
2003,33.4,66.3,5.1,,,,,,
2004,33.4,66.3,5.1,,,,,,
2005,32.2,67.3,6.2,,,,,,
2006,32.2,67.3,6.2,,,,,,
2007,33.6,67.9,6.0,,,,,,
2008,33.6,67.9,6.0,,,,,,
2009,32.7,68.8,6.6,,,,,,
2010,32.7,68.8,6.6,,,,,,
2011,33.3,68.6,6.6,,,,,,
2012,33.3,68.6,6.6,,,,,,
2013,31.9,70.1,8.1,,,,,,
2014,31.9,70.1,8.1,,,,,,
2015,31.0,71.0,8.0,,,,,,
2016,31.0,71.0,8.0,,,,,,
