age,total pop 2010,male pop 2010,female pop 2010,total pop 2016,male pop 2016,female pop 2016
0,3951454,2018489,1932965,3955377,2021764,1933613
1,3957695,2020238,1937457,4004017,2047678,1956339
2,4090616,2088564,2002052,3990991,2042666,1948325
3,4111682,2101148,2010534,3981326,2034744,1946582
4,4077326,2084202,1993124,3987866,2038254,1949612
5,4064480,2076475,1988005,4032787,2062721,1970066
6,4072889,2079359,1993530,4029444,2056429,1973015
7,4042967,2063096,1979871,4029700,2055671,1974029
8,4025495,2054387,1971108,4158968,2122254,2036714
9,4125317,2106964,2018353,4178605,2134232,2044373
10,4186959,2142107,2044852,4144625,2117158,2027467
11,4115452,2104761,2010691,4132611,2109432,2023179
12,4113239,2103603,2009636,4141353,2112430,2028923
13,4119585,2104914,2014671,4111886,2096710,2015176
14,4145490,2122850,2022640,4096727,2089414,2007313
15,4230902,2170373,2060529,4201611,2144753,2056858
16,4313090,2214913,2098177,4270670,2184078,2086592
17,4376158,2252719,2123439,4210248,2153031,2057217
18,4490385,2305415,2184970,4223290,2160245,2063045
19,4570789,2334607,2236182,4245565,2170760,2074805
20,4568055,2331630,2236425,4286564,2197828,2088736
21,4387520,2240899,2146621,4386414,2253183,2133231
22,4286502,2188003,2098499,4480595,2302536,2178059
23,4216698,2150842,2065856,4553777,2344031,2209746
24,4243224,2161164,2082060,4676663,2399677,2276986
25,4289018,2176947,2112071,4763194,2430677,2332517
26,4160508,2102167,2058341,4754096,2419961,2334135
27,4236809,2135066,2101743,4567423,2322801,2244622
28,4247376,2134882,2112494,4461130,2265271,2195859
29,4210139,2112199,2097940,4385585,2225093,2160492
30,4304114,2167383,2136731,4403377,2231452,2171925
31,4042424,2026371,2016053,4434930,2240172,2194758
32,3967447,1986066,1981381,4294385,2160786,2133599
33,3933404,1963538,1969866,4356692,2187596,2169096
34,3822120,1908680,1913440,4352115,2180528,2171587
35,3948190,1974538,1973652,4303181,2152316,2150865
36,3830090,1907310,1922780,4385025,2201058,2183967
37,3896623,1934423,1962200,4112091,2053905,2058186
38,4080090,2027938,2052152,4030605,2010506,2020099
39,4324292,2148612,2175680,3988387,1983297,2005090
40,4387318,2189414,2197904,3870893,1925676,1945217
41,4163365,2073839,2089526,3987834,1987407,2000427
42,4082649,2031729,2050920,3861852,1916498,1945354
43,4093719,2030919,2062800,3918537,1938208,1980329
44,4178367,2074495,2103872,4093328,2027424,2065904
45,4438446,2201818,2236628,4324551,2140344,2184207
46,4529607,2238713,2290894,4376488,2174282,2202206
47,4535360,2237874,2297486,4146627,2055816,2090811
48,4534558,2235241,2299317,4058776,2009855,2048921
49,4598974,2262390,2336584,4061192,2004734,2056458
50,4646111,2290808,2355303,4133931,2041063,2092868
51,4498875,2209728,2289147,4378704,2159311,2219393
52,4480498,2197104,2283394,4455485,2187753,2267732
53,4439343,2170897,2268446,4448135,2179004,2269131
54,4288408,2091617,2196791,4435174,2168979,2266195
55,4258899,2075165,2183734,4485896,2187371,2298525
56,4093115,1984421,2108694,4520972,2208073,2312899
57,3946482,1909973,2036509,4364273,2121461,2242812
58,3802411,1838668,1963743,4334230,2101350,2232880
59,3694225,1779467,1914758,4281943,2068184,2213759
60,3616676,1742203,1874473,4124852,1984757,2140095
61,3520129,1691406,1828723,4085979,1962045,2123934
62,3495097,1679068,1816029,3913573,1867782,2045791
63,3652182,1753896,1898286,3758910,1788549,1970361
64,2706101,1291866,1414235,3607574,1713526,1894048
65,2678528,1272688,1405840,3492271,1651119,1841152
66,2621359,1239794,1381565,3405526,1610004,1795522
67,2693743,1270155,1423588,3296304,1554128,1742176
68,2359862,1105717,1254145,3254306,1533377,1720929
69,2167896,1006799,1161097,3381146,1591572,1789574
70,2062660,954098,1108562,2488370,1161878,1326492
71,1953665,903274,1050391,2446446,1135797,1310649
72,1883894,862564,1021330,2372281,1094802,1277479
73,1750372,794669,955703,2415320,1109590,1305730
74,1686065,758853,927212,2094035,954182,1139853
75,1631948,725686,906262,1901800,857110,1044690
76,1481772,653577,828195,1785775,800006,985769
77,1449228,630882,818346,1666031,744397,921634
78,1402261,602805,799456,1580281,697195,883086
79,1355002,573910,781092,1440868,628371,812497
80,1319813,549247,770566,1359236,585560,773676
81,1212664,496090,716574,1285201,544588,740613
82,1158424,462831,695593,1135811,475160,660651
83,1081505,423024,658481,1079926,443624,636302
84,987098,375705,611393,1009519,406959,602560
85,915081,337679,577402,938865,370529,568336
86,821605,295402,526203,876538,337518,539020
87,721252,253634,467618,766537,288119,478418
88,636689,216227,420462,694100,252719,441381
89,546229,180473,365756,610586,215871,394715
90,448347,141394,306953,520990,177782,343208
91,344460,104292,240168,449898,147463,302435
92,288842,83461,205381,372778,118030,254748
93,219069,60183,158886,300057,92332,207725
94,170783,43825,126958,239378,70281,169097
95,131085,31737,99348,186336,53000,133336
96,97169,22023,75146,135594,36290,99304
97,68894,14773,54121,94410,24369,70041
98,47035,9501,37534,69007,16761,52246
99,32181,6107,26074,44832,10348,34484
100,54413,9353,45060,81971,16436,65535
